DENUMIRE^CUI^ADR_JUDET^ADRESA
ROA EVENTS PRO S.R.L.^27837926^Prahova^Loc. Băicoi, Oraş Băicoi, NUCILOR 1
IORDAN NICOLETA-MIHAELA PERSOANĂ FIZICĂ AUTORIZATĂ^34576467^Prahova^Sat Blejoi, Comuna Blejoi, BLEJOI 549A
RED FRUITS SRL^34743662^Ilfov^Sat 1 Decembrie, Comuna 1 Decembrie, ARTIŞTILOR 37
ANDREI N. CORNELIA PERSOANĂ FIZICĂ AUTORIZATĂ^31109629^Timiş^Municipiul Timişoara, LABIRINT 9
TRAIAN SA^1891204^Constanţa^Municipiul Constanţa, Str. INTERIOARA 2
SALUBRIZARE ŞI GOSPODĂRIE CUMPĂNA SRL^27302965^Constanţa^Sat Cumpăna, Comuna Cumpăna, CONSTANŢEI 132
SZEKELY MONICA ÎNTREPRINDERE INDIVIDUALĂ^26794363^Constanţa^Loc. Venus, Municipiul Mangalia, NICOLAE IORGA 9
VASILESCU I MARIA - DOINA ÎNTREPRINDERE INDIVIDUALĂ^19783191^Dâmboviţa^Municipiul Târgovişte, Str. CONSTANTIN BRANCOVEANU 32
DEJI FLORIN-LIVIU PERSOANĂ FIZICĂ AUTORIZATĂ^31692564^Constanţa^Municipiul Constanţa, TRAIAN 64
STOICA F FLORICA ÎNTREPRINDERE INDIVIDUALĂ^28971461^Dâmboviţa^Sat Gura Sutii, Comuna Gura Sutii,  310
SOREFY TRANS SRL^18691863^Gorj^Sat Baia de Fier, Comuna Baia de Fier,  1374
ECOCHIM SOLUTIONS S.R.L.^39074070^Bucureşti^Bucureşti Sectorul 2, ICOANEI 85
WATER JAPANESE TECHNOLOGIES S.R.L.^40754550^Bucureşti^Bucureşti Sectorul 2, CIMENTULUI 10A
OPRICAN L. GABRIEL PERSOANĂ FIZICĂ AUTORIZATĂ^32937050^Călăraşi^Municipiul Olteniţa, ALEXANDRU GHICA 17
PROD COM RALUCA & ANDREEA SRL^35822810^Călăraşi^Sat Frumuşani, Comuna Frumuşani, PLOPILOR 21
INSTALAMONT UTIL SRL^31978834^Harghita^Sat Joseni, Comuna Joseni, JOSENI 1103
DUNCE TRADE S.R.L.^41497315^Bucureşti^Bucureşti Sectorul 1, BITOLIA 32
GSD MOTION S.R.L.^41865085^Mureş^Sat Găieşti, Comuna Acăţari, GĂIEŞTI 
TTL PLAST DISTRIBUTION S.R.L.^42101175^Constanţa^Municipiul Constanţa, STÂNJENEILOR 3
IULIA PEDIATRIC S.R.L.^42620326^Neamţ^Municipiul Piatra Neamţ, CLEMENT POMPILIU 4
AGP ALEGRIA ALEX S.R.L.^43740703^Buzău^Sat Lopătari, Comuna Lopătari, LOPĂTARI 48
MIHAI EDUARD DANIEL PERSOANĂ FIZICĂ AUTORIZATĂ^46222838^Bucureşti^Bucureşti Sectorul 4, EMIL RACOVIŢĂ 35
HELP MOBIL SATU MARE S.R.L.^44348202^Satu Mare^Sat Nisipeni, Comuna Lazuri, NISIPENI 46
TOCACI SORINA-ALEXANDRA PERSOANĂ FIZICĂ AUTORIZATĂ^45791061^Timiş^Sat Dumbrăviţa, Comuna Dumbrăviţa, ROMA 15
LA IONUT-BUFTEA S.R.L.^46184793^Maramureş^Sat Văleni, Comuna Călineşti, VĂLENI 93
SANFARM PROJECTS S.R.L.^46644778^Vaslui^Oraş Murgeni, Dimitrie Cantemir 2
MARINA ILINCA 888 S.R.L.^46492190^Argeş^Sat Mîrteşti, Comuna Săpata,  169
DEBITARE SI CHERESTELE BIA S.R.L.^46487932^Braşov^Municipiul Codlea, LIBERTĂŢII 30
MMA RENOVARE S.R.L.^46927928^Mureş^Oraş Miercurea Nirajului, SÎNTANA 52
AUTO AS SIB S.R.L.^48096558^Sibiu^Municipiul Sibiu, MUNCITORILOR 16
OPTIM ADMIN ESV S.R.L.^48967899^Cluj^Sat Floreşti, Comuna Floreşti, EROILOR 88
