DENUMIRE^CUI^ADR_JUDET^ADRESA
RESTUBIN COM SRL-D^36687682^Dolj^Sat Lăcriţa Mică, Comuna Robăneşti, GHEORGHE DONICI 62
KOVÁCS ZS. SÁNDOR PERSOANĂ FIZICĂ AUTORIZATĂ^39439606^Covasna^Municipiul Sfântu Gheorghe, ROMULUS CIOFLEC 17
SPRINT AGRO IMPORT-EXPORT SRL^32908020^Bucureşti^Bucureşti Sectorul 2, HORTENSIEI 49C
OVI ELEGANT CONSTRUCT S.R.L.^39158198^Olt^Sat Vişina, Comuna Vişina, ARCULUI 59
ISMAIL NARCIS-ISMAIL PERSOANĂ FIZICĂ AUTORIZATĂ^39342440^Tulcea^Loc. Babadag, Oraş Babadag, REPUBLICII 49
TUR RUTIER SRL^34902113^Bucureşti^Bucureşti Sectorul 3, MINIŞ 4
SERVCOM PANA SRL^1170607^Buzău^Municipiul Râmnicu Sărat, Str. BALTA ALBA 25
MOROGAN SILVIU ÎNTREPRINDERE INDIVIDUALĂ^20763023^Buzău^Sat Ruşeţu, Comuna Ruşeţu,  
STRONYRAD ACTIV MOD SRL^37816092^Buzău^Sat Focşănei, Comuna Vadu Paşii, ION BĂEŞU 12
MODĂ ȘI FRUMUSEȚE ALD SRL^34509441^Giurgiu^Sat Vânătorii Mari, Comuna Vânătorii Mici, Linia Mică 23
TABACARU NICU PERSOANĂ FIZICĂ AUTORIZATĂ^41378659^Bacău^Sat Huruieşti, Comuna Huruieşti, HURUIEŞTI 
PIESA ALPHA S.R.L.^42502550^Dâmboviţa^Loc. Pucioasa, Oraş Pucioasa, 1 DECEMBRIE 1918 
DANADI COMMERCE S.R.L.^42663815^Ilfov^Sat Dudu, Comuna Chiajna, TINERETULUI 13
MAGNUM AUTOSEL S.R.L.^42967997^Argeş^Oraş Ştefăneşti, GORGOIEŞTI 30
TRANDAFIR S. VIOREL PERSOANĂ FIZICĂ AUTORIZATĂ^43877477^Timiş^Municipiul Timişoara, CORIOLAN BREDICEANU 1A
UPLOAD MEDIA GROUP S.R.L.^44570380^Cluj^Municipiul Cluj-Napoca, DECEBAL 116
PROCOVANU VLAD-DANIEL ÎNTREPRINDERE INDIVIDUALĂ^47009464^Argeş^Municipiul Piteşti, TUDOR VLADIMIRESCU 15
LUPAŞCU TRACTĂRI AUTO DB S.R.L.^45579302^Dâmboviţa^Municipiul Târgovişte, DIACONU CORESI 2
BUNESCU ALEXANDRU-OCTAVIAN PERSOANĂ FIZICĂ AUTORIZATĂ^46214231^Brăila^Municipiul Brăila, INDEPENDENŢEI 61
NDV BUSINESS DEVELOPMENT S.R.L.^46360342^Bucureşti^Bucureşti Sectorul 2, Pantelimon 245
BUILD SAFE CENTER S.R.L.^41038444^Iaşi^Municipiul Iaşi, NICORIŢĂ 19
ADI TENCUIELI CONSTRUCT S.R.L.^46889182^Bucureşti^Bucureşti Sectorul 5, MARIN CONSTANTIN 2
DAV.IZOTERM S.R.L.^47771176^Iaşi^Sat Cozmeşti, Comuna Stolniceni-Prăjescu,  
CASH RPD IFN S.R.L.^49694789^Buzău^Municipiul Buzău, BRĂILEI 15
IONESCU ANDREI-VALENTIN PERSOANĂ FIZICĂ AUTORIZATĂ^50705520^Argeş^Oraş Mioveni, DOGARILOR 8
ALVION PARTNERS S.R.L.^51425146^Timiş^Municipiul Timişoara, Mitropolit Georgije Popović 5
ADMINISTRARE IMOBILE MOLDOVA S.R.L.^51600107^Iaşi^Municipiul Iaşi, Ştefan cel Mare şi Sfânt 7
NAYRA SIA SOCIETATE CU RASPUNDERE LIMITATĂ^51787480^Ilfov^Oraş Popeşti Leordeni, LAURENŢIU RAICIU 1C
CIORNENSCHI DIANA-MIHAELA PERSOANĂ FIZICĂ AUTORIZATĂ^51921840^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
CLICK PULSE MEDIA S.R.L.^52194210^Bucureşti^Bucureşti Sectorul 1, GHEORGHE SIMIONESCU 19
DRUȚA DIANA PERSOANĂ FIZICĂ AUTORIZATĂ^52284762^Maramureş^Loc. Baia Sprie, Oraş Baia Sprie, LUNCII 2
ELV BEAUTY ART S.R.L.^53376007^Ilfov^Sat Dobroeşti, Comuna Dobroeşti, NUCULUI 4A
SERVICII AUTONOME DE SECURITATE SAS SRL^18399690^Bucureşti^Bucureşti Sectorul 2, Str. Corbeni 20
NDL TRANSLATION SRL^28333072^Bucureşti^Bucureşti Sectorul 4, Str. SOLDANULUI 9
GHT MERCHANDISING SRL^36318456^Bucureşti^Bucureşti Sectorul 2, VERGULUI 1
BUCUR S. DANIELA PERSOANĂ FIZICĂ AUTORIZATĂ^25496180^Braşov^Municipiul Braşov, Str. APOLLO 5B
MATECAR SPORT SRL^32923454^Vrancea^Municipiul Focşani, VRANCEI 24
MATEO OGREZEANU PAULINA ÎNTREPRINDERE FAMILIALĂ^17406403^Ialomiţa^Sat Luciu, Comuna Gura Ialomiţei, BRĂILEI 118
BUHA MARIAN GHEORGHE PERSOANĂ FIZICĂ AUTORIZATĂ^28819316^Bihor^Sat Burda, Comuna Budureasa,  2
MONOREP METAL INDUSTRIES SRL^18966441^Maramureş^Municipiul Baia Mare, Str. CULTURII 13
